食物,别名,特征,分类,Wiki百科,热量(千卡),硫胺素(毫克),钙(毫克),蛋白质(克),核黄素(毫克),镁(毫克),脂肪(克),烟酸(毫克),铁(毫克),碳水化合物(克),维生素C(毫克),锰(毫克),膳食纤维(克),维生素E(毫克),锌(毫克),维生素A(微克),胆固醇(毫克),铜(毫克),胡罗卜素(微克),钾(毫克),磷(毫克),视黄醇当量(微克),钠(毫克),硒(微克),备注
小麦,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6,317.0,0.4,34.0,11.9,0.1,4.0,1.3,4.0,5.1,64.4,0.0,3.1,10.8,1.82,2.33,0.0,0.0,0.43,1.6,289.0,325.0,10.0,6.8,4.05,Empty
五谷香,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E4%BA%94%E8%B0%B7%E9%A6%99,377.0,0.11,2.0,9.9,0.19,0.0,2.6,0.0,0.5,78.4,0.0,0.05,0.5,2.31,0.23,0.0,0.0,0.08,3.0,7.0,13.0,5.6,1.0,1.15,Empty
小麦粉,Empty,标准粉,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6%E7%B2%89,344.0,0.28,31.0,11.2,0.08,50.0,1.5,2.0,3.5,71.5,0.0,1.56,2.1,1.8,1.64,0.0,0.0,0.42,1.0,190.0,188.0,12.7,3.1,5.36,Empty
小麦粉,Empty,富强粉，特一粉,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6%E7%B2%89,350.0,0.17,27.0,10.3,0.06,32.0,1.1,2.0,2.7,74.6,0.0,0.77,0.6,0.73,0.97,0.0,0.0,0.26,0.7,128.0,114.0,12.7,2.7,6.88,Empty
小麦粉,Empty,特二粉,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6%E7%B2%89,349.0,0.15,30.0,10.4,0.11,48.0,1.1,2.0,3.0,74.3,0.0,0.92,1.6,1.25,0.96,0.0,0.0,0.58,0.6,124.0,120.0,12.0,1.5,6.01,Empty
小麦胚粉,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6%E8%83%9A%E7%B2%89,392.0,3.5,85.0,36.4,0.79,198.0,10.1,3.7,0.6,38.9,0.0,17.3,5.6,23.2,23.4,0.0,0.0,0.83,4.7,1523.0,1168.0,4.3,4.6,65.2,Empty
麸皮,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E9%BA%B8%E7%9A%AE,220.0,0.3,206.0,15.8,0.3,382.0,4.0,12.5,9.9,30.1,0.0,10.85,31.3,4.47,5.98,20.0,0.0,2.03,4.3,862.0,682.0,14.5,12.2,7.12,Empty
挂面,Empty,均值,谷类,http://www.foodbk.com/wiki/%E6%8C%82%E9%9D%A2,346.0,0.19,17.0,10.3,0.04,49.0,0.6,2.5,3.0,74.9,0.0,0.92,0.7,1.04,0.94,0.0,0.0,0.39,1.2,129.0,134.0,12.3,184.5,11.77,Empty
挂面,Empty,标准粉,谷类,http://www.foodbk.com/wiki/%E6%8C%82%E9%9D%A2,344.0,0.19,14.0,10.1,0.04,51.0,0.7,2.5,3.5,74.4,0.0,1.28,1.6,1.11,1.22,0.0,0.0,0.44,0.8,157.0,153.0,12.4,150.0,9.9,Empty
挂面,Empty,富强粉,谷类,http://www.foodbk.com/wiki/%E6%8C%82%E9%9D%A2,347.0,0.2,21.0,9.6,0.04,48.0,0.6,2.4,3.2,75.7,0.0,0.68,0.3,0.88,0.74,0.0,0.0,0.4,1.1,122.0,112.0,12.7,110.6,11.13,Empty
挂面,Empty,精制龙须面,谷类,http://www.foodbk.com/wiki/%E6%8C%82%E9%9D%A2,347.0,0.18,26.0,11.2,0.03,48.0,0.5,2.5,2.3,74.5,0.0,0.81,0.2,0.0,0.87,0.0,0.0,0.33,1.7,109.0,137.0,11.9,292.8,14.28,Empty
面条,Empty,均值,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,284.0,0.22,11.0,8.3,0.07,39.0,0.7,1.4,3.6,61.1,0.0,0.86,0.8,0.59,1.43,0.0,0.0,0.17,0.6,135.0,162.0,28.5,28.0,11.74,Empty
面条,Empty,标准粉，切面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,280.0,0.35,13.0,8.5,0.1,61.0,1.6,3.1,2.6,58.0,0.0,1.35,1.5,0.47,1.07,0.0,0.0,0.2,0.7,161.0,142.0,29.7,3.4,0.4,Empty
面条,Empty,富强粉，切面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,285.0,0.18,24.0,9.3,0.04,29.0,1.1,2.2,2.0,59.5,0.0,0.56,0.4,0.0,0.83,0.0,0.0,0.14,0.5,102.0,92.0,29.2,1.5,17.3,Empty
面条,Empty,特粉，切面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,286.0,0.17,3.0,7.3,0.09,36.0,0.1,0.3,4.7,63.9,0.0,0.74,0.6,0.47,1.68,0.0,0.0,0.16,0.6,128.0,181.0,27.5,9.7,15.82,Empty
面条,Empty,富强粉，煮,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,109.0,0.0,4.0,2.7,0.01,10.0,0.2,1.8,0.5,24.2,0.0,0.2,0.1,0.0,0.21,0.0,0.0,0.04,0.2,15.0,25.0,72.6,26.9,0.2,Empty
面条,Empty,干切面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,355.0,0.28,8.0,11.0,0.05,42.0,0.1,2.7,9.6,77.5,0.0,0.72,0.2,0.0,1.5,0.0,0.0,0.22,0.7,100.0,142.0,10.5,60.9,7.78,Empty
面条,Empty,虾蓉面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,429.0,0.0,17.0,8.5,0.01,24.0,15.1,2.8,2.0,64.7,0.0,0.0,3.6,1.22,0.0,0.0,0.0,0.45,2.0,101.0,92.0,6.1,304.2,9.39,Empty
通心面,通心粉,Empty,谷类,http://www.foodbk.com/wiki/%E9%80%9A%E5%BF%83%E9%9D%A2,350.0,0.12,14.0,11.9,0.03,58.0,0.1,1.0,2.6,75.4,0.0,0.67,0.4,0.0,1.55,0.0,0.0,0.16,0.4,209.0,97.0,11.8,35.0,5.8,Empty
花卷,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E8%8A%B1%E5%8D%B7,211.0,0.0,19.0,6.4,0.02,12.0,1.0,1.1,0.4,44.1,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.09,1.3,83.0,72.0,45.7,95.0,6.17,Empty
空锅饼,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E7%A9%BA%E9%94%85%E9%A5%BC,277.0,0.14,2.0,8.6,0.0,30.0,0.2,0.0,5.8,60.2,0.0,0.78,0.7,0.08,1.73,0.0,0.0,0.13,0.9,138.0,133.0,29.4,243.2,24.19,Empty
烙饼,Empty,标准粉,谷类,http://www.foodbk.com/wiki/%E7%83%99%E9%A5%BC,255.0,0.02,20.0,7.5,0.04,51.0,2.3,0.0,2.4,51.0,0.0,1.15,1.9,1.03,0.94,0.0,0.0,0.15,0.9,141.0,146.0,36.4,149.3,7.5,Empty
馒头,Empty,均值,谷类,http://www.foodbk.com/wiki/%E9%A6%92%E5%A4%B4,221.0,0.04,38.0,7.0,0.05,30.0,1.1,0.0,1.8,45.7,0.0,0.78,1.3,0.65,0.71,0.0,0.0,0.1,1.0,138.0,107.0,43.9,165.1,8.45,Empty
馒头,Empty,标准粉,谷类,http://www.foodbk.com/wiki/%E9%A6%92%E5%A4%B4,233.0,0.05,18.0,7.8,0.07,39.0,1.0,0.0,1.9,48.3,0.0,1.27,1.5,0.86,1.01,0.0,0.0,0.14,0.9,129.0,136.0,40.5,165.2,9.7,Empty
馒头,Empty,富强粉,谷类,http://www.foodbk.com/wiki/%E9%A6%92%E5%A4%B4,208.0,0.02,58.0,6.2,0.02,20.0,1.2,0.0,1.7,43.2,0.0,0.29,1.0,0.09,0.4,0.0,0.0,0.05,1.1,146.0,78.0,47.3,165.0,7.2,Empty
烧饼,Empty,加糖,谷类,http://www.foodbk.com/wiki/%E7%83%A7%E9%A5%BC,293.0,0.0,51.0,8.0,0.01,26.0,2.1,1.1,1.6,60.6,0.0,0.0,2.1,0.39,0.36,0.0,0.0,0.15,1.3,122.0,105.0,25.9,62.5,12.16,Empty
油饼,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%B2%B9%E9%A5%BC,399.0,0.11,46.0,7.9,0.05,13.0,22.9,0.0,2.3,40.4,0.0,0.71,2.0,13.72,0.97,0.0,0.0,0.27,2.0,106.0,124.0,24.8,572.5,10.6,Empty
油条,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%B2%B9%E6%9D%A1,386.0,0.01,6.0,6.9,0.07,19.0,17.6,0.7,1.0,50.1,0.0,0.52,0.9,3.19,0.75,0.0,0.0,0.19,2.7,227.0,77.0,21.8,585.2,8.6,Empty
水面筋,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%B0%B4%E9%9D%A2%E7%AD%8B,141.0,0.1,76.0,23.5,0.07,26.0,0.1,1.1,4.2,11.4,0.0,0.86,0.9,0.65,1.76,0.0,0.0,0.19,0.6,69.0,133.0,63.5,15.0,1.0,Empty
油面筋,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%B2%B9%E9%9D%A2%E7%AD%8B,490.0,0.03,29.0,26.9,0.05,40.0,25.1,2.2,2.5,39.1,0.0,1.28,1.3,7.18,2.29,0.0,0.0,0.5,0.5,45.0,98.0,7.1,29.5,22.8,Empty
稻米,Empty,均值,谷类,http://www.foodbk.com/wiki/%E7%A8%BB%E7%B1%B3,346.0,0.11,13.0,7.4,0.05,34.0,0.8,1.9,2.3,77.2,0.0,1.29,0.7,0.46,1.7,0.0,0.0,0.3,0.6,103.0,110.0,13.3,3.8,2.23,Empty
粳米,Empty,标一,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B1%B3,343.0,0.16,11.0,7.7,0.08,34.0,0.6,1.3,1.1,76.8,0.0,1.36,0.6,1.01,1.45,0.0,0.0,0.19,0.6,97.0,121.0,13.7,2.4,2.5,Empty
粳米,Empty,标二,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B1%B3,347.0,0.22,3.0,8.0,0.05,20.0,0.6,2.6,0.4,77.3,0.0,0.77,0.4,0.53,0.89,0.0,0.0,0.28,0.5,78.0,99.0,13.2,0.9,6.4,Empty
